in:LabR[%],in:FFR [%],in:UnderGrnd [%],in:GlzR [%],in:Uvalue [IP],in:HVAC,in:HeatRecov,in:LabACH,in:Plant,out:PeakCool [Btu/h-sf],out:PeakHeat [Btu/h-sf],out:EUI [kBtu/sf],img
50,55,50,80,0.4,VAV,Glycol,4/2,Campus,17.076708,8.766484,77.585596,85055501_R4.png
60,55,50,80,0.4,VAV,Glycol,4/2,Campus,18.372124,9.103894,85.388628,85055601_R4.png
40,35,10,20,0.25,FCU,Glycol,4/2,Campus,12.388083,5.244364,56.085591,21035401_R4.png
50,35,10,20,0.25,FCU,Glycol,4/2,Campus,13.524263,5.399347,64.180913,21035501_R4.png
60,35,10,20,0.25,FCU,Glycol,4/2,Campus,14.660443,5.554331,72.276236,21035601_R4.png
40,45,10,20,0.25,FCU,Glycol,4/2,Campus,12.700352,5.553978,56.355562,21045401_R4.png
50,45,10,20,0.25,FCU,Glycol,4/2,Campus,13.79452,5.676814,64.424229,21045501_R4.png
60,45,10,20,0.25,FCU,Glycol,4/2,Campus,14.888689,5.799649,72.492894,21045601_R4.png
40,55,10,20,0.25,FCU,Glycol,4/2,Campus,12.969245,5.861247,56.699395,21055401_R4.png
50,55,10,20,0.25,FCU,Glycol,4/2,Campus,14.020075,5.952181,64.7385,21055501_R4.png
60,55,10,20,0.25,FCU,Glycol,4/2,Campus,15.070905,6.043114,72.777607,21055601_R4.png
40,35,30,20,0.25,FCU,Glycol,4/2,Campus,12.099824,5.003679,55.989888,23035401_R4.png
50,35,30,20,0.25,FCU,Glycol,4/2,Campus,13.27527,5.184151,64.096565,23035501_R4.png
60,35,30,20,0.25,FCU,Glycol,4/2,Campus,14.450715,5.364622,72.203243,23035601_R4.png
40,45,30,20,0.25,FCU,Glycol,4/2,Campus,12.330773,5.246281,56.212925,23045401_R4.png
50,45,30,20,0.25,FCU,Glycol,4/2,Campus,13.474986,5.401693,64.298103,23045501_R4.png
60,45,30,20,0.25,FCU,Glycol,4/2,Campus,14.619199,5.557105,72.383279,23045601_R4.png
40,55,30,20,0.25,FCU,Glycol,4/2,Campus,12.526904,5.486997,56.493326,23055401_R4.png
50,55,30,20,0.25,FCU,Glycol,4/2,Campus,13.638402,5.617547,64.554476,23055501_R4.png
60,55,30,20,0.25,FCU,Glycol,4/2,Campus,14.7499,5.748097,72.615628,23055601_R4.png
40,35,50,20,0.25,FCU,Glycol,4/2,Campus,11.811566,4.762995,55.894183,25035401_R4.png
50,35,50,20,0.25,FCU,Glycol,4/2,Campus,13.026277,4.968954,64.012216,25035501_R4.png
60,35,50,20,0.25,FCU,Glycol,4/2,Campus,14.240988,5.174914,72.130248,25035601_R4.png
40,45,50,20,0.25,FCU,Glycol,4/2,Campus,11.961194,4.938583,56.070288,25045401_R4.png
50,45,50,20,0.25,FCU,Glycol,4/2,Campus,13.155451,5.126572,64.171977,25045501_R4.png
60,45,50,20,0.25,FCU,Glycol,4/2,Campus,14.349709,5.314561,72.273664,25045601_R4.png
40,55,50,20,0.25,FCU,Glycol,4/2,Campus,12.084563,5.112748,56.287258,25055401_R4.png
50,55,50,20,0.25,FCU,Glycol,4/2,Campus,13.256729,5.282914,64.370453,25055501_R4.png
60,55,50,20,0.25,FCU,Glycol,4/2,Campus,14.428895,5.453081,72.453649,25055601_R4.png
40,35,10,40,0.25,FCU,Glycol,4/2,Campus,13.59447,5.93152,56.436544,41035401_R4.png
50,35,10,40,0.25,FCU,Glycol,4/2,Campus,14.744992,6.11087,64.614628,41035501_R4.png
60,35,10,40,0.25,FCU,Glycol,4/2,Campus,15.895513,6.29022,72.792714,41035601_R4.png
40,45,10,40,0.25,FCU,Glycol,4/2,Campus,14.161744,6.353887,56.776636,41045401_R4.png
50,45,10,40,0.25,FCU,Glycol,4/2,Campus,15.242662,6.489374,64.916168,41045501_R4.png
60,45,10,40,0.25,FCU,Glycol,4/2,Campus,16.323579,6.624861,73.055699,41045601_R4.png
40,55,10,40,0.25,FCU,Glycol,4/2,Campus,14.799311,6.77204,57.22782,41055401_R4.png
50,55,10,40,0.25,FCU,Glycol,4/2,Campus,15.810843,6.864105,65.321536,41055501_R4.png
60,55,10,40,0.25,FCU,Glycol,4/2,Campus,16.822374,6.956169,73.415256,41055601_R4.png
40,35,30,40,0.25,FCU,Glycol,4/2,Campus,13.145009,5.598272,56.333084,43035401_R4.png
50,35,30,40,0.25,FCU,Glycol,4/2,Campus,14.35833,5.81273,64.521689,43035501_R4.png
